1	1	216
1	2	25
1	3	3
1	13	1
1	15	11
1	23	6
1	25	34
1	26	2
1	30	33
1	34	8
1	35	17
1	40	2
1	42	8
1	46	9
1	50	2
1	60	5
1	100	18
1	103	1
1	127	4
1	159	12
1	172	11
1	198	1
1	214	4
1	237	2
1	239	2
1	242	9
1	252	2
1	278	13
1	299	1
1	301	3
1	316	22
1	361	2
1	368	2
1	371	3
1	432	1
1	442	6
1	459	3
1	505	4
1	539	4
1	614	1
1	629	1
1	635	11
1	645	3
1	663	2
1	699	1
1	756	2
1	766	8
1	791	1
1	830	3
1	851	1
1	910	10
1	957	3
1	964	2
1	988	1
1	1010	1
1	1102	1
1	1114	10
1	1138	4
1	1212	4
1	1234	1
1	1235	2
1	1255	2
1	1279	3
1	1299	5
1	1433	5
1	1479	7
1	1493	1
1	1494	2
1	1562	2
1	1624	2
1	1793	3
1	1804	1
1	1811	2
1	1852	3
1	1995	2
1	2057	1
1	2167	1
1	2171	2
1	2183	1
1	2247	6
1	2324	3
1	2389	2
1	2468	1
1	2488	2
1	2536	1
1	2608	4
1	2657	3
1	2798	1
1	2825	2
1	2886	1
1	2987	2
1	3142	1
1	3201	1
1	3278	1
1	3432	4
1	3828	4
1	3960	1
1	4390	3
1	4773	3
1	4922	2
1	5452	2
1	5479	2
1	5624	2
1	5786	2
1	5825	3
1	6229	1
1	6350	1
1	6565	2
1	6693	1
1	6781	1
1	7190	1
1	7823	1
1	8456	1
1	8506	1
1	9036	2
1	9162	1
1	9556	1
1	9771	2
2	1	25
2	2	168
2	15	6
2	23	19
2	25	1
2	26	4
2	30	4
2	42	9
2	43	5
2	44	3
2	46	2
2	48	2
2	60	1
2	72	5
2	78	4
2	89	3
2	100	5
2	124	1
2	140	4
2	159	28
2	172	4
2	198	7
2	214	8
2	233	3
2	252	1
2	302	5
2	310	1
2	342	1
2	384	2
2	430	17
2	431	10
2	433	1
2	442	15
2	536	10
2	567	2
2	601	5
2	656	14
2	727	3
2	738	2
2	751	1
2	791	1
2	913	2
2	939	1
2	988	6
2	1025	2
2	1202	1
2	1235	4
2	1251	1
2	1299	9
2	1474	1
2	1481	1
2	1670	7
2	1782	2
2	1809	1
2	1995	4
2	2012	3
2	2019	5
2	2462	1
2	2608	5
2	2631	3
2	2702	1
2	2825	5
2	2886	1
2	3018	2
2	3024	1
2	3107	1
2	3196	4
2	3203	1
